Case #1: Impossible
11 12 170984
33 29 175694
18 17 176407
11 35 184424
3 12 187368
32 23 190123
35 23 190484
16 17 190736
33 22 190878
16 11 192256
17 23 195951
12 15 198803
28 11 199504
21 13 199824
23 14 206879
23 25 217954
28 16 222410
28 12 224089
23 16 228928
23 11 236206
36 33 242722
16 21 245863
Case #94: 96
13 12 6656
24 19 45816
25 13 56894
14 23 63801
21 13 71706
11 25 86960
20 27 92986
4 11 94081
21 11 101772
11 23 114331
9 12 120316
13 14 122948
11 27 136060
16 26 143786
14 10 143956
5 6 151041
21 15 152065
7 20 154918
28 25 155288
20 2 156955
13 8 159118
16 4 161376
13 10 164420
29 1 165372
14 20 178516
27 1 180083
5 14 180973
21 24 181167
16 23 181626
17 21 189132
9 4 190987
16 8 196347
1 11 197014
8 27 197130
10 5 197327
7 27 199132
18 26 199852
21 18 200960
16 17 207897
11 26 211081
4 8 223133
8 9 225958
13 1 227080
15 6 231162
9 6 234487
27 18 235248
11 19 237123
9 17 237508
1 10 238509
24 20 239662
14 17 240374
6 27 242744
2 4 246096
7 29 249729
15 20 254221
3 26 254838
5 25 258331
6 4 260897
9 18 264076
16 1 264309
5 19 265082
8 1 268447
9 5 273384
25 7 284454
20 26 292872
20 17 297096
16 3 299034
1 18 306565
16 28 309543
4 20 310462
15 8 314907
2 14 315116
16 15 321132
15 17 321887
28 29 329212
3 24 329536
19 9 334029
18 19 336311
15 26 344838
6 26 348662
4 7 351707
24 1 352080
3 20 368132
5 26 387559
24 6 389623
13 3 396395
28 7 434289
17 2 453006
3 29 527868
3 6 533145
4 22 542593
22 12 587140
22 7 608370
8 22 609538
10 22 641894
15 22 701245
Case #95: 79
6 9 761
12 6 5079
7 16 20693
23 11 21871
3 4 27669
5 10 28185
16 5 35224
11 20 35758
20 21 36497
5 4 39668
23 22 39670
3 21 48322
23 12 53330
16 13 56197
22 6 57444
6 4 59094
18 23 66379
5 19 66611
18 15 68221
9 7 69197
6 20 72296
21 13 74136
5 9 77677
14 23 78054
24 10 79333
20 18 80266
12 5 81995
12 16 84050
14 6 85686
10 17 89120
11 5 94471
7 11 94816
11 4 95632
3 23 98706
24 1 112143
17 13 113925
5 22 115377
12 19 115437
22 7 115722
5 1 115785
1 17 121930
15 4 123404
13 24 123712
23 13 124520
10 2 126039
24 3 128193
23 10 128248
14 21 128438
16 23 135287
1 20 144126
4 17 146075
1 8 147562
17 2 149115
16 20 149174
18 16 155919
23 1 158013
2 24 158902
19 21 161720
15 6 165076
21 17 166728
23 17 168157
20 19 179182
20 17 182044
6 24 184434
14 10 190787
20 24 191831
6 17 194221
14 17 208918
15 2 216776
22 24 217614
24 14 218705
8 16 227376
2 6 231140
8 10 235162
2 20 254883
8 2 260940
23 8 298581
8 6 302199
8 15 368982
Case #96: 27
4 1 62787
5 1 74843
9 5 123315
5 6 143301
9 2 185564
8 11 232238
8 1 249732
8 9 298204
8 6 318190
1 11 318294
7 1 334938
2 6 355236
11 9 366766
11 6 386752
6 3 388985
10 9 406392
10 4 420707
2 11 429480
10 5 432763
7 8 434984
8 10 440890
7 2 472030
11 7 503546
9 3 551406
3 10 608560
2 3 640026
10 7 692858
Case #97: 93
12 22 12900
27 14 45756
26 27 84769
27 18 85664
3 29 88129
3 6 93884
2 13 109364
11 29 115033
14 9 115716
20 14 153420
23 26 165065
23 18 165960
17 31 172143
6 22 174324
8 26 181653
18 3 186119
8 2 188000
26 5 191318
5 18 192213
10 29 193525
2 5 197665
25 5 199375
28 13 203753
10 30 205565
21 18 205842
25 3 208580
3 19 215299
20 13 217424
11 30 232020
26 6 237975
3 5 240780
4 15 243633
2 25 262056
28 2 264785
23 13 268082
6 8 268260
25 18 269298
5 30 269638
20 23 279472
22 24 288592
15 21 289212
30 27 300641
27 29 304085
13 21 307964
1 13 309590
1 17 312990
29 5 319826
10 18 319903
22 1 321118
4 26 325623
30 20 330279
4 2 331970
9 8 332745
14 17 333399
11 18 344043
23 7 345460
19 25 353600
11 28 365841
27 12 367649
18 31 382030
21 4 386588
21 28 387340
9 10 389178
19 21 389842
19 20 392275
9 6 392704
25 21 395324
15 10 397844
1 25 407222
24 30 421308
21 11 427823
17 21 429969
30 7 440239
13 7 440339
6 1 444548
11 22 445440
17 9 447553
9 22 456627
7 5 469575
24 20 470660
23 15 490119
11 9 499667
31 9 516713
21 7 542269
15 9 570862
20 16 576666
4 16 659440
30 16 678131
16 31 714952
10 16 783057
16 11 807197
16 24 818512
15 16 890181
Case #98: 16
3 1 97418
3 9 211942
3 2 308933
5 9 358109
5 2 365286
8 9 415878
4 8 574209
5 1 576801
1 6 602809
5 4 606835
9 6 660394
7 2 743615
2 6 814298
6 4 818725
8 7 826120
5 7 998358
Case #99: Impossible
Case #100: 6
10 8 318098
5 4 550221
5 6 728478
2 5 748198
1 5 764727
3 5 780889
Case #101: 41
16 15 54098
40 41 76668
18 26 259860
15 32 288472
40 7 295744
25 35 318643
22 41 330760
14 26 333075
13 41 353410
17 18 355864
15 10 355936
37 34 401543
39 40 404278
4 40 415383
34 23 441290
27 33 451412
32 18 454945
24 22 532522
42 24 540133
11 15 543450
9 29 555783
32 7 556804
31 22 609281
31 10 609442
7 42 657506
21 2 659699
17 24 681898
36 35 685332
27 8 702505
3 35 706394
10 38 707967
45 4 770240
13 45 825796
11 34 833689
31 29 850480
1 41 860141
25 17 913638
17 6 925543
36 37 958675
18 23 969029
6 43 996343
Case #102: 77
21 18 47019
8 1 63864
1 14 69084
12 8 69125
7 10 74597
7 21 76361
23 16 77474
23 2 80120
7 13 82002
8 10 101434
16 20 101501
23 8 109733
11 14 109740
23 14 114953
11 15 115032
9 17 118356
13 23 118790
1 16 123343
5 7 125544
20 13 135003
22 5 137370
21 10 141396
9 20 147892
4 20 155246
15 13 158995
3 21 161692
13 18 162525
2 22 163682
22 16 166328
17 7 168551
15 6 168609
9 10 169488
19 11 169937
16 5 174044
15 22 175836
3 20 182089
1 20 186894
16 11 187634
12 4 202587
15 16 216322
10 15 219567
22 4 220073
1 19 221119
12 19 226380
6 22 227297
5 4 227789
23 3 235222
20 14 238369
12 7 238491
20 15 240663
18 22 241208
19 21 242948
4 17 243494
1 22 245159
6 13 245188
9 2 246747
19 2 247327
16 19 249973
21 4 253424
4 15 254056
12 15 260646
13 9 266789
23 17 267223
6 16 267783
17 1 277917
1 3 281091
17 12 285050
9 23 286521
5 6 288730
4 19 290717
11 10 300872
17 15 307428
21 11 335298
6 8 339217
9 11 350915
17 19 395835
12 6 401677
Case #103: 1
1 2 5
Case #104: 21
9 2 150141
9 3 171619
14 6 187948
1 12 340325
5 12 354712
9 10 419380
2 5 421669
9 16 447178
3 15 510370
1 5 555486
14 12 581251
5 13 587777
16 14 593992
14 8 625072
13 16 763427
17 2 764339
15 10 804954
15 8 823560
1 17 826710
10 11 848678
17 3 870895
Case #105: 26
1 8 72060
10 8 83620
1 4 133611
13 1 144262
6 12 150460
3 8 206897
7 1 223892
7 4 246723
13 12 248257
12 10 259675
8 11 268947
2 4 293133
6 13 305184
10 6 316602
9 12 318858
5 10 327645
4 11 330498
13 11 341149
11 7 378743
2 1 392062
5 8 407541
8 9 448242
3 5 470318
2 3 526899
2 6 587666
9 2 704634
Case #106: 37
4 8 1111
18 2 2861
20 3 4753
11 8 6569
21 12 6796
3 17 7586
21 5 10400
5 23 11608
3 9 13219
14 7 20189
24 9 23268
4 20 27677
21 16 28857
4 6 32792
23 13 33699
17 5 42096
9 14 42558
21 9 44254
13 7 44356
23 22 44987
18 14 46232
13 10 47465
20 18 48897
20 12 58465
12 2 59458
19 18 70679
17 19 73386
12 1 73752
6 24 77685
20 15 85260
19 8 102927
2 1 107758
18 22 114616
11 15 116953
6 14 117347
6 13 141514
1 15 185896
Case #107: Impossible
Case #108: Impossible
Case #109: 178
14 39 220
42 23 1745
13 19 4381
37 24 28817
19 39 36023
13 14 40184
25 18 44525
13 15 65284
44 11 68668
22 31 75463
28 26 79236
35 6 84747
14 20 87566
14 15 96706
30 36 103902
36 4 107664
31 23 119533
21 23 122859
1 10 130230
4 46 131922
47 1 135595
5 31 141454
11 1 141542
4 22 141867
22 33 143567
31 38 143745
24 30 145092
12 43 149668
9 21 151558
8 21 151935
25 20 154128
12 11 165126
29 15 166576
47 12 166818
29 33 167461
36 25 174589
10 25 178831
23 35 183033
21 32 186875
44 26 190928
5 2 192635
22 20 193022
36 28 195914
15 27 196073
44 45 196513
31 20 200079
10 9 200386
11 7 200713
25 19 205891
3 10 207025
38 35 207245
13 28 208731
11 8 212075
20 9 212300
47 35 214165
45 38 214776
16 3 214928
21 18 215717
6 20 216123
40 37 217447
29 1 218847
21 25 219175
18 42 220041
32 23 220562
45 47 221599
45 15 224391
27 31 225803
9 23 227117
37 11 227247
1 20 228721
9 18 231083
30 25 231497
26 17 235695
16 43 236745
20 23 237092
14 4 237531
34 7 237580
12 18 238231
39 31 239324
28 14 240153
44 20 243041
23 28 243079
22 19 244785
36 39 246605
33 4 248092
12 5 249766
40 16 250428
31 19 251842
7 33 252319
12 7 253198
6 47 253480
30 15 253581
25 42 254607
45 46 258585
18 43 259508
13 16 262084
35 15 262923
7 23 263432
18 2 263572
9 19 264063
28 5 265000
36 27 267063
7 30 270491
10 27 271305
4 37 272981
40 35 273144
24 22 274713
18 32 278883
15 33 279903
34 28 281880
9 38 282953
47 40 284024
12 37 287805
34 11 288587
43 19 290848
39 21 291191
15 32 291968
9 7 292131
8 7 292508
7 4 292823
39 46 294878
29 36 295318
11 40 297230
14 44 298400
6 43 298776
21 29 300249
24 16 300899
32 20 301108
37 18 303247
34 36 304141
36 43 306879
34 18 307629
8 26 307956
30 29 311159
25 33 311855
13 5 315157
23 46 317859
21 40 317980
37 35 324937
43 44 325825
32 7 327448
42 41 328013
47 30 330164
1 26 335862
24 32 336423
40 12 337505
41 38 339145
24 6 341131
39 5 346799
14 38 348870
46 29 351129
41 30 351897
34 42 353051
41 9 354967
47 26 357230
26 27 363810
34 5 373227
46 18 376180
37 17 385220
2 27 390612
7 24 391309
17 32 391459
4 34 393541
14 17 396612
43 4 397070
19 34 397587
41 34 408009
47 39 417688
8 46 418634
17 15 421712
34 32 428166
39 7 431764
46 28 432350
30 17 447791
27 7 452222
46 41 470108
17 46 488756
27 47 498213
Case #110: Impossible
Case #111: Impossible
Case #112: 173
8 29 4070
20 2 12871
8 16 13752
32 17 18515
15 10 23435
21 15 25841
34 36 33287
4 15 34157
29 9 34269
24 19 34286
13 14 35932
23 14 36172
9 11 38018
36 25 40258
35 3 43404
24 12 49882
9 1 50719
31 35 53140
25 18 53582
24 30 54648
28 34 55606
34 29 57496
36 9 58478
25 24 61828
11 16 62605
25 29 64467
12 3 66095
7 5 67083
32 9 73200
35 21 74087
16 25 74149
5 23 78385
23 3 79749
3 13 79989
24 23 80173
26 11 82918
5 32 84474
26 30 93710
19 21 96523
32 16 97787
31 13 99322
14 24 100062
28 10 100477
26 21 101299
22 23 102702
9 22 104089
15 6 104382
7 10 106147
8 31 107150
10 17 107271
32 21 109373
24 6 109496
28 16 109508
10 5 109851
1 31 110524
10 24 111513
21 12 112119
34 31 112158
28 14 113462
19 13 114219
33 36 114829
16 7 115178
20 11 115912
35 14 116530
21 30 116885
5 29 117740
36 7 118005
16 10 118042
9 4 119478
17 14 120256
3 26 120860
21 28 121094
5 11 121489
24 4 122235
11 28 122939
13 11 123789
29 7 124860
16 22 128676
28 4 129410
12 13 129815
1 5 134190
30 13 134581
4 7 135080
17 25 135945
30 7 137089
33 28 137148
33 29 139038
31 26 140193
9 2 141059
26 36 141148
1 7 141310
11 21 141458
13 21 142170
36 14 142261
21 23 142410
26 22 143813
33 17 143942
31 24 145260
19 3 146560
14 25 146822
22 4 147531
26 20 148765
23 1 149034
23 9 150957
29 15 151159
36 30 151609
6 11 151685
15 27 151732
5 34 151801
6 7 151804
36 10 151933
35 29 156220
19 11 156266
5 33 159584
33 3 159955
24 9 159998
32 13 161115
32 23 161355
14 21 162299
36 21 164323
15 13 165041
16 2 165646
35 16 165902
33 7 166260
29 14 166470
32 6 169195
12 11 171862
1 14 173914
25 3 174102
31 17 174558
13 16 175304
36 3 175415
16 23 175544
21 18 177647
31 32 179485
30 8 179888
28 6 180916
20 22 181983
36 27 184573
13 29 184986
16 30 185500
5 35 186344
20 24 187827
24 7 189001
6 13 189429
13 20 189636
18 35 190154
28 26 190265
5 6 190798
12 28 191912
31 33 193700
32 18 194454
22 7 194680
13 18 195343
7 31 196876
28 19 196911
4 20 197372
27 11 199035
31 22 202264
29 27 208782
24 33 209861
19 7 214439
2 15 218658
5 2 224530
2 28 225980
2 7 231650
32 27 235264
30 33 245125
27 28 246985
33 26 248923
2 31 278408
27 2 302076
23 27 316533
Case #113: 4
13 8 506206
24 2 540262
6 12 705550
18 12 861311
Case #114: 9
7 3 29951
2 4 156602
1 3 177708
7 8 193641
2 5 235062
8 4 248575
6 4 304772
5 1 341053
6 7 359706
Case #115: 16
2 3 14626
7 2 38210
6 5 79506
8 9 231612
6 9 231814
7 4 263622
8 4 265910
8 3 309136
8 5 347499
8 1 479620
3 5 514853
1 9 538126
1 2 546983
7 6 629965
1 4 733861
1 5 815217
Case #116: 9
4 6 133324
3 2 233912
4 2 405427
2 5 426473
3 4 508813
1 3 533059
5 4 708105
1 2 750192
1 4 960950
Case #117: 226
11 9 5793
30 18 6093
18 33 9578
31 33 9976
14 27 12271
21 40 13442
1 34 13668
19 23 16489
37 15 17900
31 19 18966
33 19 20100
27 4 20336
5 28 20542
40 39 24268
11 30 27107
22 34 30239
23 34 30385
38 10 32720
30 35 32924
7 18 33399
3 18 35790
21 15 36488
7 22 36555
17 15 39180
37 34 39339
1 36 39770
4 40 43205
18 24 44037
31 35 46385
21 31 47484
19 22 49777
25 1 51200
7 41 51378
12 18 52136
31 1 52172
1 7 53126
1 33 53306
33 39 53748
18 25 53821
31 25 54304
32 39 56035
35 19 56509
19 10 57648
37 6 57798
17 34 58486
37 31 59940
29 28 61698
43 21 61886
9 3 63197
39 16 63262
18 36 65251
22 16 66268
13 21 66342
5 27 70025
38 31 71402
17 41 71649
34 10 72893
9 23 73574
5 32 73630
41 9 74103
33 13 74215
40 23 74405
32 4 74972
31 32 76884
2 26 77781
19 17 78024
12 35 78967
34 39 80522
35 25 80652
9 25 81228
20 10 83117
37 4 84151
17 36 84588
9 32 84737
10 35 85067
4 33 87223
2 6 88710
35 39 90157
27 33 90458
32 7 90729
11 10 91436
10 7 91635
4 43 91649
1 38 91945
10 5 93750
30 14 93858
39 41 94956
17 24 95737
19 4 96213
22 35 96785
22 9 97361
7 17 97944
19 14 98287
37 10 98622
15 14 98858
10 36 98995
32 37 99597
32 24 101367
34 4 101788
10 24 102273
14 6 102559
23 32 103497
13 29 103572
38 25 104870
1 26 105112
40 5 105397
25 15 105521
13 6 106531
1 13 106840
25 39 106918
32 43 107095
40 22 107693
6 41 108167
21 28 108216
19 41 108367
32 12 109466
26 30 110354
12 10 110372
35 13 110624
9 13 111200
32 13 111551
41 35 111608
11 16 112355
35 14 114596
32 10 115566
16 31 115876
38 13 117558
9 38 118363
14 38 118784
29 27 119815
42 39 120472
17 32 120877
29 1 121215
22 26 121683
36 32 122581
1 27 123083
22 13 123411
14 3 123555
4 35 123632
38 39 124016
4 9 124208
14 34 124480
25 29 125153
29 6 126006
31 28 126065
36 40 126660
10 14 126845
17 16 127657
10 26 127784
37 28 129906
5 33 130743
43 41 130843
5 18 130960
12 15 131301
4 25 131551
33 8 131754
20 33 131775
25 16 134039
6 8 134250
29 40 136038
39 6 137425
23 29 137932
25 41 137990
33 29 138124
24 5 139764
11 17 139959
7 6 139984
37 26 141533
2 36 143123
3 26 143523
6 32 144924
6 25 145419
29 19 147114
4 38 148649
28 1 148714
26 28 149707
24 26 151770
28 35 152498
22 28 152549
28 23 152678
19 42 154120
5 36 154470
20 34 155070
26 21 155700
9 29 155816
9 43 156331
5 35 157791
22 20 157973
2 16 158292
26 38 158782
43 6 161601
25 5 165900
24 8 166213
29 10 166830
41 20 168233
8 15 168544
9 20 168760
21 20 169283
22 5 169546
7 29 169955
8 21 170143
8 38 173225
34 42 174180
36 43 175104
8 39 175273
26 41 175387
9 2 179065
25 28 179488
8 2 182646
26 4 185463
2 18 185514
21 2 188425
8 29 192874
14 26 195498
8 41 201013
12 2 203794
19 2 204963
6 20 211462
35 2 212345
27 20 219382
42 36 227096
8 5 234255
20 42 246219
28 8 247843
42 26 281302
42 8 285485
Case #118: 35
2 11 61106
6 5 78665
4 12 118263
13 5 124058
10 2 128301
14 5 155283
11 4 164416
12 8 268206
5 11 269815
13 11 282952
13 12 286237
3 10 287699
9 13 288535
8 11 314359
5 12 315968
6 12 331630
10 6 352672
8 5 366791
3 4 384920
6 2 389451
7 9 401588
14 11 411069
7 12 412425
3 6 424513
14 2 431020
11 1 436133
12 14 457222
11 9 459791
9 10 478232
5 7 513055
13 1 532568
9 3 568556
1 3 656637
1 8 663727
7 3 679082
Case #119: 12
2 1 289055
5 2 289414
8 7 312809
6 8 343767
7 5 437841
6 10 439153
7 10 470111
1 4 571882
9 8 595269
11 9 662092
3 7 859752
4 7 940953
Case #120: 58
25 21 850
1 17 7436
21 16 12438
25 17 13451
9 23 21324
8 23 26950
23 14 30015
10 7 31497
8 22 33910
17 15 39867
4 25 55736
14 20 61544
25 22 72362
1 19 79465
18 7 81782
11 15 82482
4 19 84460
24 14 85406
21 19 86330
19 8 88297
17 10 90650
12 21 99300
13 23 101331
25 14 103207
14 5 107327
18 15 109081
5 8 110392
15 24 111584
15 19 111896
2 15 112494
14 1 115202
1 8 118267
24 11 133007
16 6 135192
22 5 138172
2 12 144812
19 20 146776
19 12 150925
13 11 154996
19 10 162679
7 14 168908
24 19 170638
6 23 171285
8 7 171973
13 12 172931
10 5 173339
19 13 179897
6 14 187827
8 6 190892
6 2 193142
22 7 199753
12 7 207965
6 22 218672
15 5 221457
5 11 225282
21 3 227755
7 6 256295
2 3 390836
Case #121: 159
24 35 5974
27 42 16256
26 20 23804
24 15 26446
1 26 36282
9 31 41688
27 36 46922
15 42 48478
5 6 48693
41 1 53673
35 25 53862
5 15 59846
22 26 67713
32 29 68221
26 12 71470
8 19 72019
7 41 76384
19 43 76788
16 31 82536
44 24 86603
7 40 89494
27 40 91886
1 39 98721
13 46 102288
34 10 105956
39 28 106292
4 19 107044
33 38 110757
27 19 112081
8 39 113823
35 12 116503
7 46 116972
26 23 117672
1 27 118411
6 30 118603
4 7 120738
46 34 121834
40 16 122119
34 4 125600
22 46 125692
39 34 126294
3 14 126445
8 38 127649
36 12 127713
16 29 128905
12 7 130463
35 36 132128
35 11 132651
28 18 135050
11 40 136835
12 15 136975
22 27 137848
9 4 139614
9 32 139631
5 8 139646
7 15 141508
20 10 146007
22 28 148626
15 41 149028
19 35 152511
6 46 155647
7 38 156023
15 34 157074
36 30 161286
41 31 161459
21 22 161771
7 35 161980
6 9 162658
35 17 163861
41 36 165443
33 32 165534
15 46 166800
38 36 167616
40 43 167787
16 22 168081
35 41 169500
39 9 169567
15 23 172268
6 4 172719
28 17 172792
38 35 173388
35 29 174205
45 40 175043
32 1 175549
45 24 176833
27 11 176913
18 26 178068
26 30 179812
40 38 180068
6 22 181653
5 41 182324
8 42 182324
9 12 182491
25 6 182873
13 32 183576
15 4 183872
22 11 185293
10 41 187202
10 5 196449
44 12 197132
41 45 197787
13 39 198158
44 32 198561
40 23 199420
19 41 199486
18 10 199702
27 10 201337
45 1 203372
16 3 203814
44 33 204364
6 38 205065
19 1 205071
6 2 205250
33 30 206079
30 21 208863
45 30 210106
32 12 210737
38 10 213394
25 26 215161
12 28 219073
32 10 222115
11 39 222351
3 46 224546
45 25 224721
45 7 226083
39 36 227104
36 2 227220
11 43 227952
44 39 228497
10 16 231570
9 14 232854
43 34 233383
46 14 242932
5 2 244101
27 47 244129
44 14 244185
44 28 251893
2 30 258980
3 43 260460
10 30 266359
14 23 267843
21 47 268052
37 4 274131
47 16 274362
6 47 287934
18 36 288594
35 13 289560
13 10 291188
35 18 291759
37 9 294275
3 45 312819
11 3 313588
47 26 319290
47 7 320903
10 3 326448
18 13 326962
37 33 341305
14 10 354764
37 34 378893
Case #122: Impossible
Case #123: Impossible
Case #124: 58
10 6 5128
4 22 12242
15 9 12624
7 8 18747
2 22 20924
19 5 22239
13 15 27133
11 3 29033
9 20 30604
23 2 31106
8 3 31393
4 26 33126
18 21 34154
8 2 35872
7 15 43225
23 21 49388
12 25 51094
16 25 54523
15 25 56484
16 8 63680
8 24 65852
5 10 66060
10 8 73288
2 16 74219
20 7 74858
15 12 77516
1 18 80646
9 5 82163
4 16 85110
11 17 85241
3 4 92532
1 16 93347
5 8 94327
14 7 95358
24 5 105203
21 3 116901
19 1 117902
18 25 122226
23 10 122967
21 15 133443
22 14 136950
11 18 139661
14 23 147132
3 12 151113
14 21 156896
13 10 161934
12 6 163558
13 27 167013
22 17 189014
17 9 189879
14 19 223989
27 16 246945
23 27 252135
27 12 255740
27 5 273136
1 17 278073
27 6 309406
27 17 328901
Case #125: 28
7 1 75248
1 12 88635
10 11 105008
7 11 109410
12 11 122797
8 5 141231
5 1 150649
10 12 164826
11 4 165842
8 12 166490
12 6 168008
9 1 177403
5 11 184811
11 3 188081
7 5 206813
9 11 211565
8 10 227948
12 3 242554
11 6 263702
3 2 301225
7 6 304788
5 2 322372
3 9 331322
12 2 347631
6 4 361220
6 5 380189
3 6 383459
2 4 567946
Case #126: 5
4 3 155990
3 1 223894
5 2 379193
3 6 397986
3 2 402713
Case #127: 12
1 11 113654
12 5 252772
9 8 426668
4 5 465875
6 7 637442
2 8 648917
1 5 707611
8 1 775763
9 1 788313
11 12 846729
5 7 953486
5 9 962164
Case #128: 24
1 4 35802
2 1 46431
10 3 71288
9 7 75107
8 6 97000
3 4 146989
10 9 206699
3 7 210518
9 5 217266
9 1 220670
5 6 239052
5 10 250456
3 8 265053
6 3 270632
6 1 281998
8 2 332567
11 6 348761
9 8 370602
9 6 406043
2 11 406956
4 5 420257
1 11 447038
11 3 454406
5 2 474619
Case #129: Impossible
Case #130: Impossible
Case #131: 28
21 12 234657
6 12 276347
13 9 306509
15 26 336597
22 15 393886
24 16 418962
4 1 456265
20 19 459025
6 5 558113
15 19 575496
23 5 576594
22 13 596456
6 16 608254
12 10 676580
23 1 687240
26 24 695508
13 20 724717
24 22 737889
25 11 749608
15 1 760316
26 9 845676
20 16 885254
8 23 898039
2 20 924935
18 24 927309
11 12 937009
6 3 942740
19 18 961967
Case #132: Impossible
Case #133: Impossible
Case #134: 13
5 2 43093
1 9 177127
8 2 200246
8 3 221803
2 1 354761
6 3 485819
10 8 518580
1 10 545595
11 6 574609
7 9 640729
7 10 655914
2 6 735144
4 11 735409
Case #135: 213
12 20 10933
11 16 14138
10 16 15154
20 24 15588
44 12 16010
11 24 17524
24 10 18540
22 16 45091
28 5 47874
24 22 48477
27 10 55415
23 45 56676
11 6 62021
9 16 62484
13 11 63207
34 44 65464
39 22 65681
12 30 66912
12 46 67636
27 24 68051
12 29 73106
17 12 75893
30 46 80899
27 22 85352
24 45 88262
29 16 88471
6 30 91660
45 22 92093
10 35 92180
41 24 93227
43 9 93700
27 18 93968
44 23 95249
5 20 95364
5 44 96584
39 8 96969
10 5 98316
14 24 99074
46 13 103596
16 34 104609
35 12 106065
27 28 106250
31 36 110250
6 9 110367
34 28 114174
29 27 114636
13 30 114712
17 27 117423
12 47 119670
11 5 121704
2 20 123008
13 17 123693
45 27 125137
22 34 125296
6 35 130813
5 6 131045
26 6 131599
28 30 131632
17 41 133458
35 1 134252
23 46 135035
34 39 136105
2 6 136823
28 29 137826
14 4 140395
42 46 141005
6 4 146067
36 12 147106
46 9 147319
26 27 148381
38 6 150178
9 30 152531
24 43 152798
41 23 153114
41 4 153130
27 2 153605
20 42 154129
2 22 155897
29 45 156713
42 10 157081
1 11 157267
8 47 159444
15 46 160125
47 27 161200
30 18 161313
15 44 162148
17 4 162303
34 45 162517
38 22 162694
6 1 162753
27 4 162849
39 2 164369
8 5 166229
2 33 168603
15 16 169273
5 19 169523
31 24 171476
7 19 172228
34 8 173292
12 38 174926
19 16 178168
18 13 179305
8 36 183346
27 15 186231
4 9 187259
2 17 187968
30 4 188231
26 34 188325
44 19 192909
3 20 194797
37 42 196340
3 5 198354
47 1 200165
30 36 203948
11 38 204429
26 47 204655
41 7 206406
46 19 206867
9 42 208980
47 41 217552
37 3 219134
2 41 219136
6 25 219299
33 47 221157
24 37 222640
38 35 224937
41 8 226787
4 35 227384
7 23 228080
36 5 228981
28 42 229782
1 15 230494
9 31 230574
39 4 230822
35 36 231305
38 14 233415
3 1 233917
28 38 239646
22 37 239941
42 17 240399
23 31 241579
29 3 242360
35 7 243062
19 30 243811
28 43 244039
36 47 244910
25 44 250793
33 29 253670
19 36 254169
7 5 255138
26 7 255692
25 39 256642
33 34 257878
37 8 258437
1 31 258477
37 28 260839
2 7 260916
7 36 261574
15 14 271733
38 26 274007
7 8 276774
20 21 282270
21 10 285222
1 7 286846
24 33 289583
7 33 290307
21 16 294472
1 43 299313
25 28 299503
6 33 302028
40 36 303615
43 36 304559
1 38 305537
33 1 313115
4 37 317438
13 32 318428
38 3 324602
28 33 325426
7 43 328160
36 25 329793
25 43 332725
1 25 333804
1 37 334124
45 21 335651
21 46 338973
32 19 340280
46 33 340724
34 40 344773
8 25 350876
26 32 351484
32 9 356247
21 39 362063
37 43 364294
35 32 376617
15 25 380921
33 14 385265
21 1 387474
4 21 392656
10 40 396613
8 32 398561
21 15 401767
18 32 406126
43 33 415454
36 32 417734
29 40 426555
46 40 426664
33 15 426816
40 43 438279
8 40 470986
40 30 477410
40 4 486045
32 25 503341
7 40 514665
Case #136: Impossible
Case #137: 4
7 3 229316
6 4 635657
2 7 760733
2 3 815808
Case #138: 72
7 25 3318
19 12 3894
19 7 11452
8 4 16426
15 24 17675
1 5 30963
26 14 31533
25 14 33051
23 12 34696
18 25 35735
11 8 35878
20 17 38500
26 7 38777
15 4 40972
7 22 42794
11 10 51734
25 13 54979
19 17 55552
20 19 58178
10 24 59217
23 13 59836
16 13 60505
19 13 63113
20 4 68748
20 1 77835
3 19 80848
8 20 84034
22 13 94455
5 7 97507
9 25 97829
21 19 99577
14 10 104512
17 10 106678
26 8 109000
16 7 112166
22 2 119275
14 8 120368
12 10 120685
12 4 121255
8 12 136541
1 13 137062
15 22 137103
10 1 146013
17 11 146357
24 23 147593
9 2 149157
15 2 152815
6 20 153200
11 25 156060
2 12 156592
15 21 162766
5 2 163500
16 17 166252
18 4 173868
26 2 176113
10 22 178645
8 6 179095
25 15 179105
2 13 179119
3 15 181495
23 6 188494
6 10 194951
6 26 195900
13 8 199438
7 6 200736
21 10 204308
11 3 204642
11 21 223371
18 6 233153
4 9 235962
15 16 238065
9 6 295247
Case #139: 131
18 5 8983
8 29 14342
13 1 14660
4 12 18976
10 19 22907
5 13 23922
12 3 34535
31 32 35209
32 3 37244
16 4 49038
3 25 51553
15 21 54796
1 15 55809
1 29 57052
17 16 58495
13 22 64014
17 3 64361
32 16 65305
28 25 73109
25 11 74121
24 12 82251
31 2 82546
8 5 88080
23 32 95581
12 26 97117
24 16 99640
20 9 104344
5 19 112726
28 3 113211
4 21 117777
30 4 126567
17 26 126943
7 28 128770
21 5 129777
26 31 135035
31 21 136719
17 30 137417
3 2 138815
32 9 138839
12 19 141018
12 9 141548
31 10 142191
30 8 143950
12 11 146734
3 22 147094
11 32 149443
22 31 150477
15 24 151231
5 12 152651
31 14 152783
9 21 164633
19 16 169687
4 29 172147
25 13 174048
17 11 176560
22 16 180573
17 5 182477
8 31 183731
19 2 185646
8 3 185848
31 5 190569
12 14 190701
31 27 194890
24 30 195260
26 23 195407
